# Number of kmers in the perfect, raw and cleaned graphs
# _nreal is the number of real kmers in the raw/cleaned graph
kmer,nkmers,raw_nkmers,raw_nreal,clean_nkmers,clean_nreal
k21,912362,1115087,912361,912624,912361
k31,962865,1438774,962864,962835,962835
k41,984331,1635697,984330,984322,984322
k51,992751,1697232,992749,992735,992735
k61,996024,1674397,996022,996008,996008
k71,997500,1587464,997498,997498,997498
k81,998290,1441765,998288,998287,998287
k91,998785,1242238,998704,995357,995352
k99,999043,907324,854979,576,576
